church_father,e5,laberta_vulg_philberta_reranked,laberta_vulg-synt,sphilberta,sphilberta-intertext,locisimiles_k100,laberta_vulg
Ambrosius,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0
Augustinus,0.2407,0.3148,0.2593,0.1111,0.1852,0.3333,0.2593
Cyprian,0.25,0.5,0.5,0.0,0.0,0.0,0.5
Hieronymus,0.4167,0.4167,0.4167,0.1667,0.1667,0.3333,0.4167
Hilarius,0.6,0.4,0.4,0.6,0.8,0.8,0.4
P17753,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P17828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P17899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P17933,0.5,0.5,1.0,0.5,0.5,1.0,1.0
P18346,1.0,1.0,1.0,0.0,0.0,0.0,1.0
P18489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P18895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P19001,1.0,1.0,1.0,0.0,0.0,1.0,1.0
P21122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4867,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tertullianus,0.4444,0.4444,0.5556,0.2222,0.3333,0.3333,0.5556
