chunk_id,max_alignment_size
11591_sent_234_236,49
11990_sent_11,26
2801_sent_136_138,96
2801_sent_138_140,85
10857_sent_17_19,54
10404_sent_41_43,15
11820_sent_729,75
10041_sent_349_351,34
11148_sent_153_155,27
11337_sent_55_57,74
12080_sent_291,54
12874_sent_87_89,58
11150_sent_72_74,17
11820_sent_472_474,45
6187_sent_205_207,61
11326_sent_33,108
2801_sent_15,32
11337_sent_57,9
12448_sent_47,20
11755_sent_64,55
10053_sent_122_124,35
6187_sent_96_98,93
11755_sent_58_60,29
12080_sent_165,41
11976_sent_34_36,79
11591_sent_96_98,34
12265_sent_47_49,50
11372_sent_32_34,45
12080_sent_224_226,67
11826_sent_25_27,33
12080_sent_315_317,71
11990_sent_11_13,30
11689_sent_18_20,42
11212_sent_9_11,41
12080_sent_199_201,88
11755_sent_57_59,29
12080_sent_243_245,46
9183_sent_6_8,40
11820_sent_353_355,86
11820_sent_354_356,86
6187_sent_309_311,35
12080_sent_228,49
6187_sent_21_23,21
12265_sent_45_47,19
2435_sent_210_212,60
12408_sent_66,10
10454_sent_13,34
6187_sent_159_161,62
11820_sent_152_154,42
12080_sent_147_149,61
6187_sent_207_209,69
11826_sent_44,19
13088_sent_205_207,31
11689_sent_218,77
11820_sent_24_26,55
10065_sent_7,22
11148_sent_376_378,31
6187_sent_432,30
10454_sent_67_69,79
10511_sent_31_33,89
11820_sent_232_234,13
6187_sent_20_22,8
3405_sent_29_31,42
11820_sent_643_645,52
2801_sent_15_17,25
11968_sent_14,45
11820_sent_787_789,94
12080_sent_156,46
11150_sent_29,50
12080_sent_164_166,100
11212_sent_9,41
2435_sent_139_141,42
11150_sent_53,47
11337_sent_89_91,83
11820_sent_14_16,17
11148_sent_477_479,47
11689_sent_187_189,45
11593_sent_291_293,11
5473_sent_52_54,10
6187_sent_6_8,18
10454_sent_67,70
2435_sent_162_164,33
10041_sent_198,7
11826_sent_47,23
12448_sent_52_54,34
2801_sent_122,38
11820_sent_24,55
6284_sent_27_29,53
5473_sent_54,10
3904_sent_36,9
11826_sent_145_147,44
12080_sent_230,82
11820_sent_161_163,56
11148_sent_478_480,47
12080_sent_163_165,100
9780_sent_2_4,36
11689_sent_16_18,61
11689_sent_63_65,44
11591_sent_205,24
10857_sent_17,54
11820_sent_662_664,15
6284_sent_29,53
11326_sent_23_25,100
10041_sent_18_20,41
12080_sent_366_368,107
12080_sent_146_148,61
11593_sent_406,53
11591_sent_81_83,54
11820_sent_414_416,66
11820_sent_415_417,66
10067_sent_60_62,49
2801_sent_130_132,8
11689_sent_204_206,77
11593_sent_444_446,55
6187_sent_21,8
11826_sent_98_100,15
10067_sent_48_50,42
10454_sent_25,37
10506_sent_56_58,33
10857_sent_21_23,11
10015_sent_84,17
11689_sent_205_207,77
10857_sent_15_17,54
11591_sent_150_152,106
12697_sent_27_29,92
11968_sent_13_15,65
10454_sent_65_67,70
3425_sent_23_25,61
11372_sent_6_8,28
10067_sent_179_181,60
