chunk_id,max_alignment_size
2801_sent_133,105
11372_sent_16_18,18
11593_sent_157_159,83
5473_sent_13,87
6187_sent_86_88,82
10041_sent_274_276,59
12448_sent_1_3,63
12080_sent_210_212,81
11593_sent_365,18
12080_sent_179_181,93
12080_sent_181_183,93
12265_sent_48,17
10015_sent_254_256,116
12080_sent_35_37,43
11820_sent_805_807,69
10041_sent_128_130,54
11326_sent_33,117
2801_sent_15,38
10484_sent_1_3,61
10041_sent_274,59
3405_sent_83_85,72
6187_sent_96_98,96
11755_sent_58_60,68
11689_sent_166_168,24
12080_sent_31,85
10484_sent_14_16,158
12265_sent_47_49,48
11820_sent_183,82
12080_sent_325_327,86
11820_sent_809,37
11820_sent_255_257,28
12080_sent_315_317,125
11689_sent_112,137
11826_sent_25_27,117
11968_sent_15,51
2801_sent_132_134,105
11689_sent_18_20,43
10501_sent_33_35,35
10041_sent_77,70
4178_sent_37_39,19
12080_sent_199_201,70
11755_sent_57_59,68
10518_sent_59_61,48
11689_sent_66_68,67
9183_sent_6_8,40
11820_sent_353_355,96
11820_sent_354_356,96
11593_sent_501,59
10518_sent_59,48
12265_sent_45_47,48
11591_sent_57_59,47
6187_sent_86,82
10041_sent_119,84
2435_sent_210_212,19
10501_sent_34_36,35
11820_sent_846,41
11591_sent_59_61,81
11820_sent_398_400,83
11820_sent_152_154,64
11591_sent_152,91
11820_sent_597_599,65
11826_sent_44,28
11820_sent_125,46
12080_sent_329,82
6187_sent_207_209,70
11593_sent_118,52
11591_sent_60_62,77
10518_sent_119_121,40
10454_sent_67_69,68
11820_sent_512_514,93
11820_sent_160,30
2801_sent_15_17,54
10041_sent_298_300,34
12080_sent_50_52,54
2435_sent_241,100
11820_sent_787_789,192
12080_sent_156,47
11593_sent_109_111,116
12080_sent_164_166,116
11150_sent_29,136
11150_sent_10_12,97
11820_sent_509,54
10041_sent_82,65
11820_sent_805,69
11820_sent_163_165,76
12080_sent_495_497,113
11150_sent_53,53
12080_sent_203,77
11820_sent_435_437,91
11591_sent_282_284,43
12448_sent_112_114,31
11593_sent_527_529,31
11689_sent_187_189,33
2435_sent_324_326,128
11593_sent_465_467,87
10454_sent_67,57
10857_sent_22_24,32
11820_sent_495_497,96
13088_sent_222,97
10041_sent_272_274,65
11593_sent_107,57
11593_sent_107_109,57
12080_sent_216_218,73
11593_sent_163_165,96
13088_sent_214,60
11820_sent_161_163,76
11820_sent_507_509,61
6187_sent_236_238,65
11689_sent_16_18,108
12080_sent_163_165,116
12080_sent_505,88
11820_sent_529_531,73
11593_sent_102_104,89
11591_sent_58_60,81
12080_sent_336_338,114
11591_sent_153_155,69
11689_sent_63_65,72
12080_sent_494_496,113
11591_sent_205,54
11820_sent_489_491,90
6187_sent_234_236,65
12080_sent_366_368,105
11593_sent_406,92
11820_sent_527_529,73
11820_sent_414_416,74
11820_sent_415_417,74
10518_sent_21_23,48
10067_sent_101_103,52
11820_sent_804_806,69
10067_sent_103,52
13088_sent_214_216,60
11689_sent_204_206,78
11820_sent_159_161,30
12080_sent_324_326,86
10454_sent_5,12
11591_sent_197_199,34
11593_sent_390_392,92
11593_sent_158,83
3904_sent_53_55,83
10857_sent_21_23,32
11968_sent_13_15,51
11689_sent_147_149,137
13088_sent_158_160,63
12080_sent_496_498,83
10015_sent_84,85
11689_sent_205_207,78
11820_sent_847_849,85
11593_sent_356,93
11591_sent_150_152,113
12697_sent_27_29,94
12448_sent_53_55,20
10454_sent_65_67,57
11820_sent_828_830,36
12080_sent_327_329,82
11820_sent_833,61
12080_sent_183_185,88
3904_sent_52_54,83
11820_sent_495,39
10067_sent_179_181,72
11820_sent_603_605,71
11591_sent_283_285,41
12080_sent_181,93
11820_sent_511_513,93
11820_sent_162_164,76
12080_sent_236_238,79
11591_sent_141_143,89
11820_sent_800,151
11593_sent_501_503,59
3405_sent_99_101,94
11593_sent_463,74
11820_sent_183_185,82
11148_sent_305_307,26
12080_sent_217_219,73
11150_sent_35_37,105
11820_sent_826_828,36
11820_sent_787,192
11820_sent_409_411,32
10041_sent_118_120,84
11591_sent_146_148,93
11593_sent_514_516,41
11593_sent_376_378,74
3405_sent_33_35,69
11820_sent_543,41
11820_sent_543_545,41
6187_sent_98_100,74
12874_sent_0,63
